Status,Key,Value,Description,Notes,Key_Category ,Service,Entity_Type,Entity_Name,Item_Type,Working_Notes
Live,CORE_BUSINESS_INTEL_REPO,https://github.com/fourdotzero/Business_Intel,Github Repo ID,-,-,BI_SERVICE,CORE,PNP,URL,-
Live,CORE_CORE_SERVICE_REPO,https://github.com/fourdotzero/core,Github Repo ID,-,-,PAYMENT_SERVICE,CORE,PNP,URL,-
Live,CORE_DASHBOARD_REPO,https://github.com/fourdotzero/Core_Dashboard,Github Repo ID,-,-,DASHBOARD,CORE,PNP,URL,-
Planned,CORE_FEE_DLT_ID_PBK,0x9C510087747B8AF985e76738bE360e3Ea0f8359b,DLTPublicKey_PingNpay Fee Account - Acc 1,Wallet Table DLT_ID,CONFIG_DATA,PAYMENT_SERVICE ,CORE,PNP,VALUE,-
Planned,CORE_FEE_DLT_ID_PK,See AWS Secrets Manager,DLTPrivateKey_PingNpay Fee Account - Acc 1 - 0x9C510087747B8AF985e76738bE360e3Ea0f8359b,FEE_DLT_ID_PK,CONFIG_DATA,PAYMENT_SERVICE ,CORE,PNP,SECRET,-
Planned,CORE_OP_DLT_ID_PBK,0x9C510087747B8AF985e76738bE360e3Ea0f8359b,DLTPublicKey_PingNpay Op Account - Acc 1,Wallet Table DLT_ID,CONFIG_DATA,PAYMENT_SERVICE ,CORE,PNP,VALUE,-
Planned,CORE_OP_DLT_ID_PK,See AWS Secrets Manager,DLTPrivateKey_PingNpay Op Account - Acc 1 - 0x9C510087747B8AF985e76738bE360e3Ea0f8359b,OP_DLT_ID_PK,CONFIG_DATA,PAYMENT_SERVICE ,CORE,PNP,SECRET,-
Live,CURRENCY_TABLE_NAME,${VPC-STAGE}-650_dbt_Currency_${ENTITY_TYPE}                   ,DynamoDb table,-,ENV_VAR,wp-1-envmt,WALLET_PROVIDER,ALL,TABLE,-
Deprecated,CUSTCURRACCOUNT_TABLE_NAME,${VPC-STAGE}-665_dbt_CustomerCurrencyAccount_wp,DynamoDb table,-,ENV_VAR,wp-1-envmt,WALLET_PROVIDER,ALL,TABLE,-
Live,CUSTOMER_ACCOUNT_TABLE_NAME,${VPC-STAGE}-680_dbt_CustomerAccount_wp,DynamoDb table,-,ENV_VAR,wp-1-envmt,WALLET_PROVIDER,ALL,TABLE,-
Live,CUSTOMER_TABLE_NAME,${VPC-STAGE}-670_dbt_Customer_wp,DynamoDb table,-,ENV_VAR,wp-1-envmt,WALLET_PROVIDER,ALL,TABLE,-
Planned,DASHBOARD_HOSTNAME_PREFIX ,dashboard,Service component name ,-,ENV_VAR,ALL,ALL,A,URL,Should we include URL Constructors in SoI or Naming Conventions?
Planned,DASHBOARD_URL,https://dashboard.${STAGE}.${DOMAIN_NAME},URL used by Admin to access Adminstration Dashboard,-,ENV_VAR,DASHBOARD,ALL,ALL,URL,-
Planned,DEV_DOCS_URL,https://docs.${STAGE}.${DOMAIN_NAME},"Entity domain name, for accessability of supported services counterparty access",-,ENV_VAR,ALL,ALL,ALL,URL,-
Planned,DEVELOPMENT_PREFIX,dev,URL prefix for development environment ,-,ENV_VAR,ALL,ALL,ALL,Name,Should we include URL Constructors in SoI or Naming Conventions?
Live,DLT_ASSET_CODE,pGB,pNp e-money tokens issues on the DLT Contract,-,ENV_VAR,ALL,ALL,ALL,TABLE_COLUMN,"No value endpoint in DB contract,wallet or network, is this correct?"
Live,DLT_CHAIN_ID,43113,DLT Chain ID,-,CONFIG_DATA,ALL,ALL,ALL,TABLE_COLUMN,Clarify if used by BI Service
Live,DLT_CONTRACT_TABLE_NAME,${VPC-STAGE}-625_dbt_DltContract_${ENTITY_TYPE},TBD,-,ENV_VAR,ALL,ALL,ALL,TABLE,-
Live,DLT_CONTRACT_TYPE,ERC20-Token,Type of DLT Contract,-,CONFIG_DATA,BI_SERVICE,ALL,ALL,TABLE_COLUMN,-
Live,DLT_ENV_TYPE,TESTNET,DLT Environment Type ,-,CONFIG_DATA,BI_SERVICE,ALL,ALL,TABLE_COLUMN,Clarify if used by BI Service
Live,DLT_EXPLORER_API_KEY,DW4NQB2UVCB5KSPV8TRTEM3J6FN9Z77M6 ,API Key for DLT Explorer,The value is used by wp-2. This is another with no know usage UGJY32ERKNJB5UUFTS9GPH5P8HTSNYWCGK,CONFIG_DATA,BI_SERVICE,ALL,ALL,TABLE_COLUMN,Determine if East or WEST
Live,DLT_EXPLORER_API_URL,https://api-testnet.snowtrace.io/,URL of DLT Explorer,-,CONFIG_DATA,BI_SERVICE,ALL,ALL,TABLE_COLUMN,-
Planned,DLT_GAS_MULTIPLIER,1.4,Multiplier on GAS fees to ensure rapid transaction settlement,-,CONFIG_DATA,PAYMENT_SERVICE ,ALL,ALL,TABLE_COLUMN,-
Live,DLT_ID,???,Public Key of a DLT Wallet,-,CONFIG_DATA,BI_SERVICE,ALL,ALL,TABLE_COLUMN,Should we use OP_DLT_ID instead?
Live,DLT_NAME,AVALANCHE,DLT Name,-,CONFIG_DATA,BI_SERVICE,ALL,ALL,TABLE_COLUMN,Clarify if used by BI Service
Live,DLT_NETWORK_NATIVE_ASSET,AVAX,DLT Native Asset Name,-,CONFIG_DATA,BI_SERVICE,ALL,ALL,TABLE_COLUMN,Clarify if used by BI Service
Live,DLT_NETWORK_TABLE_NAME,${VPC-STAGE}-620_dbt_DltNetwork_${ENITITY_TYPE},DynamoDb table,-,ENV_VAR,ALL,ALL,ALL,TABLE,-
Live,DLT_THIRD_PARTY_BALANCE_HISTORY_TABLE_NAME,${VPC-STAGE}-635_dbt_DltThirdPartyBalanceHistory_${ENTITY_NAME},DynamoDb table,-,ENV_VAR,BI_SERVICE,CORE,PNP,TABLE,-
Live,DLT_THIRD_PARTY_BALANCE_TABLE_NAME,${VPC-STAGE}-655_dbt_DltThirdPartyBalance_core,DynamoDb table,-,ENV_VAR,PAYMENT_SERVICE ,CORE,PNP,TABLE,-
Live,DLT_WALLET_TABLE_NAME,${VPC-STAGE}-615_dbt_DltWallet_${ENTITY_TYPE},DynamoDb table,-,ENV_VAR,ALL,ALL,ALL,TABLE,-
Live,DOC_prefix,docs,docs.{DOMAIN_NAME},-,ENV_VAR,ALL,ALL,ALL,URL,-
Planned,DOCUMENT_FILE_LOCATION,TBD ,Documentation hosting location for output of autogenerated documententation,-,ENV_VAR,ALL,ALL,ALL,URL,-
Live,DOMAIN_NAME,net.fourdotzero.io | pnpd.io | fourdotpay.io,"Entity domain name, for accessability of supported services counterparty access",-,ENV_VAR,ALL,ALL,ALL,URL,-
Planned,ENTITY_NAME,CORE | WEST | PNPD,Unique pNp name for entity on pNp Network,-,ENV_VAR,PAYMENT_SERVICE ,ALL,ALL,Name,-
Planned,ENTITY_TYPE,"[WP, WD, CORE]",Type of Entity on pNp Network,-,ENV_VAR,PAYMENT_SERVICE ,ALL,ALL,Name,-
Planned,FEES_TABLE_NAME,${VPC-STAGE}-640_dbt_Fees_core,TBD,-,ENV_VAR,core-1-envmt,CORE,ALL,TABLE,-
Live,FIREBASE_CLI_TOKEN,In AWS Secrets,Used to distribute the application to the Chrome Web Store,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,SECRET,-
